name,start_date,year,counties,acres,last_updated,date_started,date_contained,cause,destroyed,fatalities,lat,lon
Becks Fire,2013-01-22,2013,Lake,296.0,01/23/13 10:15 AM,01/22/13 11:08 AM,01/23/13 10:15AM,Unknown,0,0,,
River Fire,2013-02-24,2013,Inyo,406.0,02/28/13 8:00 PM,02/24/13 8:16 AM,02/28/13 8:00PM,Under Investigation,0,0,36.602575,-118.01651
Jurupa Fire,2013-02-28,2013,Riverside,311.0,03/02/13 7:00 PM,02/28/13 4:43 PM,03/02/13 7:00PM,Unknown,0,0,,
Butte Fire,2013-04-09,2013,Fresno,80.0,04/09/13 3:30 PM,04/09/13 12:35 PM,04/09/13 3:30PM,Unknown,0,0,,
Fawnskin Fire,2013-04-20,2013,San Bernardino,30.0,04/22/13 9:00 AM,04/20/13 5:30 PM,04/22/13 9:00AM,Unknown,0,0,34.288877,-116.941311
Gold Fire,2013-04-30,2013,Madera,274.0,05/01/13 7:00 AM,04/30/13 12:59 PM,05/01/13 7:00AM,Unknown,0,0,37.116295,-119.635004
Silverado Fire,2013-04-30,2013,Napa,75.0,05/01/13 5:15 PM,04/30/13 11:44 PM,05/01/13 5:15PM,Unknown,0,0,38.441792,-122.350844
Yellow Fire,2013-04-30,2013,Sonoma,125.0,05/03/13 6:15 AM,05/01/13 2:01 AM,05/03/13 6:15AM,Unknown,0,0,38.638828,-122.655616
Cedar Fire,2013-04-30,2013,Butte,72.0,05/04/13 7:00 PM,05/01/13 4:16 AM,05/04/13 7:00PM,Unknown,0,0,,
Panther Fire,2013-05-01,2013,Tehama,6965.0,05/09/13 9:00 AM,05/01/13 9:12 AM,05/09/13 9:00AM,Under Investigation,0,0,40.190062,-121.595555
Summit Fire,2013-05-01,2013,Riverside,3166.0,05/04/13 6:30 PM,05/01/13 12:38 PM,05/04/13 6:30PM,Under Investigation,0,0,34.288877,-116.941311
306 Fire,2013-05-01,2013,Glenn,217.0,05/05/13 6:00 PM,05/01/13 7:00 PM,05/05/13 6:00PM,Under Investigation,0,0,39.514139,-122.560862
Springs Fire,2013-05-02,2013,Ventura,24251.0,05/11/13 6:30 AM,05/02/13 7:01 AM,05/11/13 6:30AM,Under Investigation,10,0,,
Tres Pinos Fire,2013-05-03,2013,San Benito,354.0,05/03/13 6:45 PM,05/03/13 11:42 AM,05/03/13 6:45PM,Unknown,0,0,37.160346,-120.937494
Gorgonio Fire,2013-05-04,2013,Riverside,510.0,05/05/13 6:45 PM,05/04/13 11:43 AM,05/05/13 6:45PM,Unknown,0,0,33.894055,-116.855019
Ranger Fire,2013-05-12,2013,Madera,15.0,05/13/13 9:00 AM,05/12/13 1:02 PM,05/13/13 9:00AM,Unknown,0,0,,
Lytle Fire,2013-05-13,2013,San Bernardino,75.0,05/15/13 8:15 AM,05/13/13 1:30 PM,05/15/13 8:15AM,Unknown,0,0,34.1834,-117.4408
Grand Fire,2013-05-15,2013,Kern and Ventura,4346.0,05/21/13 7:45 PM,05/15/13 12:50 PM,05/21/13 7:45PM,Under Investigation,0,0,34.7861,-118.9411
54 Fire,2013-05-16,2013,Riverside,40.0,05/17/13 8:30 AM,05/16/13 1:48 PM,05/17/13 8:30AM,Unknown,0,0,33.655638,-116.161201
Lake Fire,2013-05-17,2013,Los Angeles,712.0,05/18/13 7:00 PM,05/17/13 1:23 PM,05/18/13 7:00PM,Unknown,0,0,34.49149,-118.610044
Lilly 2 Fire,2013-05-19,2013,Madera,91.0,05/20/13 7:10 PM,05/19/13 3:07 PM,05/20/13 7:10PM,Unknown,0,0,37.1927,-119.7917
Cherry Fire,2013-05-20,2013,Riverside,25.0,05/20/13 6:50 PM,05/20/13 1:47 PM,05/20/13 6:50PM,Unknown,0,0,33.96201,-116.907213
Cottontail Fire,2013-05-20,2013,San Luis Obispo,35.0,05/20/13 7:10 PM,05/20/13 3:45 PM,05/20/13 7:10PM,Unknown,0,0,35.49864,-120.91375
Water Fire,2013-05-21,2013,Riverside,90.0,05/21/13 7:30 PM,05/21/13 2:16 PM,05/21/13 7:30PM,Unknown,0,0,33.9582,-116.6534
Neal Fire,2013-05-21,2013,Butte,150.0,05/22/13 9:30 AM,05/22/13 12:56 AM,05/22/13 9:30AM,Unknown,0,0,,
Border Fire,2013-05-22,2013,San Diego,100.0,05/23/13 8:30 AM,05/22/13 4:14 PM,05/23/13 8:30AM,Unknown,0,0,32.564465,-116.900368
San Felipe Fire,2013-05-23,2013,San Diego,2781.0,05/26/13 5:45 PM,05/23/13 12:20 PM,05/26/13 5:45PM,Unknown,0,0,33.12111,-116.52579
Smiley Fire,2013-05-25,2013,Riverside,124.0,05/25/13 11:00 PM,05/25/13 2:59 PM,05/25/13 11:00PM,Unknown,0,0,33.963591,-117.187934
Homestead Fire,2013-05-25,2013,San Luis Obispo,50.0,05/25/13 6:45 PM,05/25/13 5:35 PM,05/25/13 6:45PM,Unknown,0,0,35.5123,-120.6368
General Fire,2013-05-26,2013,San Diego,1271.0,05/31/13 6:15 AM,05/26/13 12:04 PM,05/31/13 6:15AM,Firearms,0,0,33.04458,-116.5209
White Fire,2013-05-27,2013,Santa Barbara,1984.0,05/30/13 7:30 PM,05/27/13 2:45 PM,05/30/13 7:30PM,Unknown,0,0,34.55048,-119.82429
Magic Fire,2013-05-28,2013,Los Angeles,149.0,05/29/13 3:30 PM,05/28/13 11:30 AM,05/29/13 3:30PM,Unknown,0,0,34.419284,-118.58688
Olive Fire,2013-05-28,2013,Santa Barbara,170.0,05/29/13 10:30 AM,05/28/13 3:24 PM,05/29/13 10:30AM,Unknown,0,0,34.611824,-120.074655
Shelton Fire,2013-05-30,2013,San Joaquin,303.0,05/30/13 1:25 PM,05/30/13 11:20 AM,05/30/13 1:25PM,Unknown,0,0,38.04993,-120.90325
Powerhouse Fire,2013-05-30,2013,Los Angeles,30274.0,06/08/13 6:30 PM,05/30/13 3:28 PM,06/08/13 6:30PM,Unknown,0,0,34.585595,-118.423176
Branch Fire,2013-06-01,2013,San Luis Obispo,500.0,06/03/13 6:30 PM,06/01/13 5:27 PM,06/03/13 6:30PM,Unknown,0,0,35.15832,-120.05131
Murphy Fire,2013-06-02,2013,Tuolumne,100.0,06/02/13 4:55 PM,06/02/13 1:30 PM,06/02/13 4:55PM,Unknown,0,0,37.91529,-120.33313
Lone Fire,2013-06-03,2013,Butte,298.0,06/03/13 8:00 PM,06/03/13 1:49 PM,06/03/13 8:00PM,Unknown,9,0,39.434183,-121.576804
152 Fire,2013-06-04,2013,Merced,124.0,06/05/13 8:30 AM,06/04/13 3:42 PM,06/05/13 8:30AM,Unknown,0,0,37.03776,-121.006939
Lake Fire,2013-06-05,2013,Lake,30.0,06/06/13 7:00 AM,06/05/13 4:05 PM,06/06/13 7:00AM,Unknown,0,0,38.99233,-122.703193
Vasco Fire,2013-06-08,2013,Alameda,240.0,06/08/13 1:25 PM,06/08/13 10:16 AM,06/08/13 1:25PM,Unknown,0,0,37.775057,-121.737213
